GroupName,Iteration,TestCaseID,TransactionType,TestCaseDesription,StartDate,EndDate,Status,Description,Screenshot,Quote Number
"URBAN","","HO_Rating_TC1","Login","","2019/01/14 17:25:49","2019/01/14 17:25:53","PASS","","",""
"URBAN","","HO_Rating_TC1","CreateQuotePolicy","","2019/01/14 17:25:53","2019/01/14 17:26:17","PASS","","",""
"URBAN","","HO_Rating_TC1","ProductInformation","","2019/01/14 17:26:18","2019/01/14 17:28:34","PASS","","",""
"URBAN","","HO_Rating_TC1","PropertyDetails","","2019/01/14 17:28:34","2019/01/14 17:31:08","PASS","","",""
"URBAN","","HO_Rating_TC1","RenovationDetails","","2019/01/14 17:31:08","2019/01/14 17:31:59","PASS","","",""
"URBAN","","HO_Rating_TC1","Next","","2019/01/14 17:31:59","2019/01/14 17:32:10","PASS","","",""
"URBAN","","HO_Rating_TC1","CoverageDetails","","2019/01/14 17:32:10","2019/01/14 17:33:46","PASS","","",""
"URBAN","","HO_Rating_TC1","Next","","2019/01/14 17:33:46","2019/01/14 17:33:57","PASS","","",""
"URBAN","","HO_Rating_TC1","OptionalCoverageDetails","","2019/01/14 17:33:57","2019/01/14 17:34:26","PASS","","",""
"URBAN","","HO_Rating_TC1","Next","","2019/01/14 17:34:26","2019/01/14 17:34:37","PASS","","",""
"URBAN","","HO_Rating_TC1","AdditionalInterests","","2019/01/14 17:34:37","2019/01/14 17:35:39","PASS","","",""
"URBAN","","HO_Rating_TC1","Next","","2019/01/14 17:35:39","2019/01/14 17:35:51","PASS","","",""
"URBAN","","HO_Rating_TC1","UnderwritingQuestions","","2019/01/14 17:35:51","2019/01/14 17:36:05","PASS","","",""
"URBAN","","HO_Rating_TC1","CalculatePremium","","2019/01/14 17:36:05","2019/01/14 17:36:33","PASS","","",""
"URBAN","","HO_Rating_TC1","GetPolicyID","","2019/01/14 17:36:33","2019/01/14 17:36:50","PASS","","",""
"URBAN","","HO_Rating_TC1","PremiumSummaryVerification","","2019/01/14 17:37:43","2019/01/14 17:37:42","FAIL","TestCase: HO_Rating_TC1 Tranasction: PremiumSummaryVerification Error: Unknown...","file:\\D:\Workspace_PAS_V1\iTAFCommon\URBAN_HO\Resources\Results\\ScreenShots\HO_Rating_TC1_PremiumSummaryVerification_null.jpeg",""
"URBAN","","HO_Rating_TC1","Issuance","","2019/01/14 17:37:43","2019/01/14 17:50:05","FAIL","Error Occurred from Do Action //iframe[contains(@src,'mic/portal/RenderDashboard.jsp')]Expected condition failed: waiting for presence of element located by: By.xpath: //iframe[contains(@src,'mic/portal/RenderDashboard.jsp')] (tried for 700 second(s) with 500 MILLISECONDS interval)
Build info: version: '3.0.1', revision: '1969d75', time: '2016-10-18 09:49:13 -0700'
System info: host: 'IND-MHP3DW73971', ip: '172.17.151.92', os.name: 'Windows 7', os.arch: 'amd64', os.version: '6.1', java.version: '1.8.0_25'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities [{applicationCacheEnabled=false, rotatable=false, mobileEmulationEnabled=false, networkConnectionEnabled=false, chrome={chromedriverVersion=2.36.540470 (e522d04694c7ebea4ba8821272dbef4f9b818c91), userDataDir=C:\Users\MRINMA~1\AppData\Local\Temp\scoped_dir8604_17015}, takesHeapSnapshot=true, pageLoadStrategy=normal, databaseEnabled=false, handlesAlerts=true, hasTouchScreen=false, version=71.0.3578.98, platform=XP, browserConnectionEnabled=false, nativeEvents=true, acceptSslCerts=false, acceptInsecureCerts=false, locationContextEnabled=true, webStorageEnabled=true, browserName=chrome, takesScreenshot=true, javascriptEnabled=true, cssSelectorsEnabled=true, setWindowRect=true, unexpectedAlertBehaviour=}]
Session ID: 032de2a5dc62c64b54ce909de5adf7bb","file:\\D:\Workspace_PAS_V1\iTAFCommon\URBAN_HO\Resources\Results\\ScreenShots\HO_Rating_TC1_Issuance_20190114173743.jpeg",""
"CloseAndLaunchBrowser","","CloseAndLaunchBrowser","CloseAndLaunchBrowser","","2019/01/14 17:50:06","2019/01/14 17:50:15","PASS","","",""
"URBAN","","HO_Rating_TC2","Login","","2019/01/14 17:50:15","2019/01/14 17:50:19","PASS","","",""
"URBAN","","HO_Rating_TC2","CreateQuotePolicy","","2019/01/14 17:50:19","2019/01/14 17:50:44","PASS","","",""
"URBAN","","HO_Rating_TC2","ProductInformation","","2019/01/14 17:50:44","2019/01/14 17:53:08","PASS","","",""
"URBAN","","HO_Rating_TC2","PropertyDetails","","2019/01/14 17:53:08","2019/01/14 17:55:34","PASS","","",""
"URBAN","","HO_Rating_TC2","RenovationDetails","","2019/01/14 17:55:34","2019/01/14 17:56:24","PASS","","",""
"URBAN","","HO_Rating_TC2","Next","","2019/01/14 17:56:24","2019/01/14 17:56:36","PASS","","",""
"URBAN","","HO_Rating_TC2","CoverageDetails","","2019/01/14 17:56:36","2019/01/14 18:01:40","FAIL","Expected condition failed: waiting for presence of element located by: By.xpath: //*[contains(@id,'replacement_cost_value-textbox')] (tried for 300 second(s) with 500 MILLISECONDS interval)
Build info: version: '3.0.1', revision: '1969d75', time: '2016-10-18 09:49:13 -0700'
System info: host: 'IND-MHP3DW73971', ip: '172.17.151.92', os.name: 'Windows 7', os.arch: 'amd64', os.version: '6.1', java.version: '1.8.0_25'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities [{applicationCacheEnabled=false, rotatable=false, mobileEmulationEnabled=false, networkConnectionEnabled=false, chrome={chromedriverVersion=2.36.540470 (e522d04694c7ebea4ba8821272dbef4f9b818c91), userDataDir=C:\Users\MRINMA~1\AppData\Local\Temp\scoped_dir14476_3695}, takesHeapSnapshot=true, pageLoadStrategy=normal, databaseEnabled=false, handlesAlerts=true, hasTouchScreen=false, version=71.0.3578.98, platform=XP, browserConnectionEnabled=false, nativeEvents=true, acceptSslCerts=false, acceptInsecureCerts=false, locationContextEnabled=true, webStorageEnabled=true, browserName=chrome, takesScreenshot=true, javascriptEnabled=true, cssSelectorsEnabled=true, setWindowRect=true, unexpectedAlertBehaviour=}]
Session ID: 09e4153e5fd87d03cb516aa0a5448a10","file:\\D:\Workspace_PAS_V1\iTAFCommon\URBAN_HO\Resources\Results\\ScreenShots\HO_Rating_TC2_CoverageDetails_20190114175636.jpeg",""
"URBAN","","HO_Rating_TC2","Next","","2019/01/14 18:01:41","2019/01/14 18:01:53","PASS","","",""
"URBAN","","HO_Rating_TC2","UnderwritingQuestions","","2019/01/14 18:01:53","2019/01/14 18:06:58","FAIL","Expected condition failed: waiting for element to be clickable: By.xpath: (//*[contains(@id,'display_label-label')]/following::div//*[text()='No']/preceding::span[1])[1] (tried for 300 second(s) with 500 MILLISECONDS interval)
Build info: version: '3.0.1', revision: '1969d75', time: '2016-10-18 09:49:13 -0700'
System info: host: 'IND-MHP3DW73971', ip: '172.17.151.92', os.name: 'Windows 7', os.arch: 'amd64', os.version: '6.1', java.version: '1.8.0_25'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities [{applicationCacheEnabled=false, rotatable=false, mobileEmulationEnabled=false, networkConnectionEnabled=false, chrome={chromedriverVersion=2.36.540470 (e522d04694c7ebea4ba8821272dbef4f9b818c91), userDataDir=C:\Users\MRINMA~1\AppData\Local\Temp\scoped_dir14476_3695}, takesHeapSnapshot=true, pageLoadStrategy=normal, databaseEnabled=false, handlesAlerts=true, hasTouchScreen=false, version=71.0.3578.98, platform=XP, browserConnectionEnabled=false, nativeEvents=true, acceptSslCerts=false, acceptInsecureCerts=false, locationContextEnabled=true, webStorageEnabled=true, browserName=chrome, takesScreenshot=true, javascriptEnabled=true, cssSelectorsEnabled=true, setWindowRect=true, unexpectedAlertBehaviour=}]
Session ID: 09e4153e5fd87d03cb516aa0a5448a10","file:\\D:\Workspace_PAS_V1\iTAFCommon\URBAN_HO\Resources\Results\\ScreenShots\HO_Rating_TC2_UnderwritingQuestions_20190114180153.jpeg",""
"CloseAndLaunchBrowser","","CloseAndLaunchBrowser","CloseAndLaunchBrowser","","2019/01/14 18:06:59","2019/01/14 18:07:09","PASS","","",""
"URBAN","","HO_Rating_TC3","Login","","2019/01/14 18:07:09","2019/01/14 18:07:13","PASS","","",""
"URBAN","","HO_Rating_TC3","CreateQuotePolicy","","2019/01/14 18:07:13","2019/01/14 18:07:38","PASS","","",""
"URBAN","","HO_Rating_TC3","ProductInformation","","2019/01/14 18:07:38","2019/01/14 18:09:54","PASS","","",""
"URBAN","","HO_Rating_TC3","PropertyDetails","","2019/01/14 18:09:54","2019/01/14 18:12:24","PASS","","",""
"URBAN","","HO_Rating_TC3","RenovationDetails","","2019/01/14 18:12:24","2019/01/14 18:13:14","PASS","","",""
"URBAN","","HO_Rating_TC3","Next","","2019/01/14 18:13:14","2019/01/14 18:13:26","PASS","","",""
"URBAN","","HO_Rating_TC3","CoverageDetails","","2019/01/14 18:13:26","2019/01/14 18:15:01","PASS","","",""
"URBAN","","HO_Rating_TC3","Next","","2019/01/14 18:15:01","2019/01/14 18:15:13","PASS","","",""
"URBAN","","HO_Rating_TC3","OptionalCoverageDetails","","2019/01/14 18:15:13","2019/01/14 18:15:48","PASS","","",""
"URBAN","","HO_Rating_TC3","OptionalCoverageDetails_1","","2019/01/14 18:15:48","2019/01/14 18:16:09","PASS","","",""
"URBAN","","HO_Rating_TC3","OptionalCoverageDetails_2","","2019/01/14 18:16:09","2019/01/14 18:17:01","PASS","","",""
"URBAN","","HO_Rating_TC3","OptionalCoverageDetails_3","","2019/01/14 18:17:01","2019/01/14 18:17:56","PASS","","",""
"URBAN","","HO_Rating_TC3","OptionalCoverageDetails_4","","2019/01/14 18:17:56","2019/01/14 18:18:47","PASS","","",""
"URBAN","","HO_Rating_TC3","OptionalCoverageDetails_5","","2019/01/14 18:18:47","2019/01/14 18:20:20","PASS","","",""
"URBAN","","HO_Rating_TC3","OptionalCoverageDetails_6","","2019/01/14 18:20:20","2019/01/14 18:21:33","PASS","","",""
"URBAN","","HO_Rating_TC3","Next","","2019/01/14 18:21:33","2019/01/14 18:21:45","PASS","","",""
"URBAN","","HO_Rating_TC3","Next","","2019/01/14 18:21:45","2019/01/14 18:21:56","PASS","","",""
"URBAN","","HO_Rating_TC3","UnderwritingQuestions","","2019/01/14 18:21:56","2019/01/14 18:22:11","PASS","","",""
"URBAN","","HO_Rating_TC3","CalculatePremium","","2019/01/14 18:22:11","2019/01/14 18:22:39","PASS","","",""
"URBAN","","HO_Rating_TC3","GetPolicyID","","2019/01/14 18:22:39","2019/01/14 18:22:55","PASS","","",""
"URBAN","","HO_Rating_TC3","PremiumSummaryVerification","","2019/01/14 18:23:17","2019/01/14 18:23:17","FAIL","TestCase: HO_Rating_TC3 Tranasction: PremiumSummaryVerification Error: Unknown...","file:\\D:\Workspace_PAS_V1\iTAFCommon\URBAN_HO\Resources\Results\\ScreenShots\HO_Rating_TC3_PremiumSummaryVerification_null.jpeg",""
"CloseAndLaunchBrowser","","CloseAndLaunchBrowser","CloseAndLaunchBrowser","","2019/01/14 18:23:17","2019/01/14 18:23:29","PASS","","",""
"URBAN","","HO_Rating_TC4","Login","","2019/01/14 18:23:29","2019/01/14 18:23:33","PASS","","",""
"URBAN","","HO_Rating_TC4","CreateQuotePolicy","","2019/01/14 18:23:33","2019/01/14 18:23:58","PASS","","",""
"URBAN","","HO_Rating_TC4","ProductInformation","","2019/01/14 18:23:58","2019/01/14 18:26:26","PASS","","",""
"URBAN","","HO_Rating_TC4","PropertyDetails","","2019/01/14 18:26:26","2019/01/14 18:29:14","PASS","","",""
"URBAN","","HO_Rating_TC4","RenovationDetails","","2019/01/14 18:29:14","2019/01/14 18:30:04","PASS","","",""
"URBAN","","HO_Rating_TC4","Next","","2019/01/14 18:30:04","2019/01/14 18:30:16","PASS","","",""
"URBAN","","HO_Rating_TC4","CoverageDetails","","2019/01/14 18:30:16","2019/01/14 18:31:49","PASS","","",""
"URBAN","","HO_Rating_TC4","Next","","2019/01/14 18:31:49","2019/01/14 18:32:01","PASS","","",""
